情境,成本 (bps),假設平均事件報酬,成本 (%),淨報酬 (%),淨報酬 (bps),是否 > 0,K
無成本（假設上界）,0.0,0.316,0.0,0.316,31.6,✓,10
手續費 + 證交稅,58.5,0.316,0.585,-0.269,-26.9,✗,10
+ 滑點 20bps（雙邊）,98.5,0.316,0.985,-0.669,-66.9,✗,10
+ 滑點 50bps（雙邊）,158.5,0.316,1.585,-1.269,-126.9,✗,10
+ 滑點 100bps（雙邊）,258.5,0.316,2.585,-2.269,-226.9,✗,10
Break-even（淨報酬 = 0）,31.6,0.316,0.316,0.0,0.0,=,10
【完美預測 ceiling，手續費+稅】,58.5,0.154,0.585,-0.431,-43.1,✗,10
無成本（假設上界）,0.0,0.457,0.0,0.457,45.7,✓,5
手續費 + 證交稅,58.5,0.457,0.585,-0.128,-12.8,✗,5
+ 滑點 20bps（雙邊）,98.5,0.457,0.985,-0.528,-52.8,✗,5
+ 滑點 50bps（雙邊）,158.5,0.457,1.585,-1.128,-112.8,✗,5
+ 滑點 100bps（雙邊）,258.5,0.457,2.585,-2.128,-212.8,✗,5
Break-even（淨報酬 = 0）,45.7,0.457,0.457,0.0,0.0,=,5
【完美預測 ceiling，手續費+稅】,58.5,0.154,0.585,-0.431,-43.1,✗,5
