event_id,ann_date,stock_id,stock_name,industry,CAR_pre_30,CAR_pre_5,CAR_post_5,CAR_post_30,price_prev,shares_issued,market_cap,avg_turnover_60d,turnover_ratio_60d,dividend_yield,momentum_60d,momentum_recent_5d,log_market_cap,log_avg_turnover,is_high_yield,market_cap_w,avg_turnover_60d_w,turnover_ratio_60d_w,dividend_yield_w,momentum_60d_w,momentum_recent_5d_w
00919_20221216,2022-12-16,2303,聯電,電子工業,0.018754,0.043279,-0.020719,0.071112,44.250000,12482123484.000000,552333964167.000000,2961902170.566667,0.005765,6.780000,0.051980,0.041176,27.037419,21.809098,False,552333964167.000000,2961902170.566667,0.005765,6.780000,0.051980,0.041176
00919_20221216,2022-12-16,2379,瑞昱,電子工業,0.002199,0.004568,-0.011622,0.137357,302.000000,512863641.000000,154884819582.000000,1375108893.250000,0.009312,8.940000,-0.072900,0.032479,25.765948,21.041799,True,154884819582.000000,1375108893.250000,0.009312,8.940000,-0.072900,0.032479
00919_20221216,2022-12-16,2404,漢唐,其他電子業,0.115248,-0.015534,0.021177,0.055797,184.000000,187586698.000000,34515952432.000000,106095288.683333,0.003408,7.140000,0.079772,-0.029024,24.264687,18.479848,False,34515952432.000000,117489992.703333,0.003408,7.140000,0.079772,-0.029024
00919_20221216,2022-12-16,2449,京元電子,電子工業,0.002525,0.058442,0.019745,0.000954,36.850000,1222745065.000000,45058155645.250000,195111016.383333,0.004802,8.140000,-0.009873,0.049858,24.531220,19.089079,False,45058155645.250000,195111016.383333,0.004802,8.140000,-0.009873,0.049858
00919_20221216,2022-12-16,2615,萬海,航運業,0.078187,0.144312,0.213562,-0.104635,72.500000,2440127212.000000,176909222870.000000,1199529161.150000,0.006949,16.550000,-0.149938,0.056851,25.898903,20.905195,True,176909222870.000000,1199529161.150000,0.006949,11.601000,-0.149938,0.056851
00919_20221216,2022-12-16,2637,慧洋-KY,航運業,0.121456,0.113775,0.054272,-0.116387,63.500000,746409199.000000,47396984136.500000,495386694.400000,0.011648,8.660000,-0.020339,0.098616,24.581824,20.020849,True,47396984136.500000,495386694.400000,0.011648,8.660000,-0.020339,0.098616
00919_20221216,2022-12-16,3231,緯創,電腦及週邊設備業,0.039529,0.078209,0.052235,-0.031414,29.300000,2844333050.000000,83338958365.000000,265052839.950000,0.003436,7.510000,0.016453,0.053957,25.146182,19.395440,False,83338958365.000000,265052839.950000,0.003436,7.510000,0.016453,0.053957
00919_20221216,2022-12-16,9933,中鼎,其他,-0.107728,-0.004197,0.008156,-0.052644,42.850000,785777524.000000,33670566903.400002,159812053.766667,0.004803,5.270000,-0.100313,-0.004646,24.239890,18.889509,False,33670566903.400002,159812053.766667,0.004803,5.270000,-0.100313,-0.004646
00919_20230531,2023-05-31,2385,群光,電子零組件業,0.067687,0.000022,-0.013059,-0.087197,105.500000,760053172.000000,80185609646.000000,209291815.183333,0.002856,7.110000,0.141125,0.019324,25.107610,19.159240,True,80185609646.000000,209291815.183333,0.002856,7.110000,0.141125,0.019324
00919_20230531,2023-05-31,3044,健鼎,電子工業,0.074241,0.007023,-0.017599,-0.140538,127.000000,525605898.000000,66751949046.000000,280380570.000000,0.004546,5.870000,0.213592,0.016000,24.924249,19.451658,False,66751949046.000000,280380570.000000,0.004546,5.870000,0.213592,0.016000
00919_20230531,2023-05-31,3264,欣銓,半導體業,-0.026191,0.040690,-0.004308,0.027967,58.300000,490170076.000000,28576915430.799999,296663042.500000,0.010617,6.000000,0.003676,0.067766,24.075865,19.508108,False,28576915430.799999,296663042.500000,0.010617,6.000000,0.003676,0.067766
00919_20230531,2023-05-31,3702,大聯大,電子通路業,0.020371,-0.004819,-0.010411,0.050483,52.800000,1679056833.000000,88654200782.399994,186510383.133333,0.002212,7.290000,0.058824,0.011494,25.208009,19.043997,True,88654200782.399994,186510383.133333,0.002212,7.290000,0.058824,0.011494
00919_20230531,2023-05-31,4915,致伸,電子零組件業,0.011211,-0.004651,-0.009996,-0.048677,64.000000,454984324.000000,29118996736.000000,229666927.700000,0.008158,6.090000,0.074576,0.009464,24.094657,19.252141,False,29118996736.000000,229666927.700000,0.008158,6.090000,0.074576,0.009464
00919_20230531,2023-05-31,6239,力成,半導體業,0.031259,0.035078,-0.000770,0.066378,99.300000,759146634.000000,75383260756.199997,228734566.850000,0.003259,7.050000,0.080275,0.054140,25.045851,19.248073,False,75383260756.199997,228734566.850000,0.003259,7.050000,0.080275,0.054140
00919_20230531,2023-05-31,6278,台表科,電子工業,-0.070364,-0.002865,-0.036696,-0.174710,101.500000,292398353.000000,29678432829.500000,155272099.533333,0.005513,6.900000,0.118778,0.026289,24.113686,18.860690,False,29678432829.500000,155272099.533333,0.005513,6.900000,0.118778,0.026289
00919_20230531,2023-05-31,6691,洋基工程,其他電子業,-0.015050,0.004632,0.038600,-0.063275,300.000000,67907140.000000,20372142000.000000,156688801.800000,0.007960,7.430000,0.065217,0.020408,23.737434,18.869772,True,20372142000.000000,156688801.800000,0.007960,7.430000,0.065217,0.020408
00919_20230531,2023-05-31,8046,南電,電子工業,0.105851,0.024838,-0.029946,-0.182071,294.000000,646165487.000000,189972653178.000000,2428178462.550000,0.013624,6.120000,0.170040,0.017301,25.970146,21.610407,False,189972653178.000000,2428178462.550000,0.013624,6.120000,0.170040,0.017301
00919_20230531,2023-05-31,9802,鈺齊-KY,運動休閒,-0.076673,0.009211,0.034695,-0.066443,123.500000,190070343.000000,23473687360.500000,147155223.666667,0.006060,5.830000,-0.072243,0.012295,23.879146,18.806999,False,23473687360.500000,147155223.666667,0.006060,5.830000,-0.072243,0.012295
00919_20231218,2023-12-18,1504,東元,電機機械,-0.085462,0.002346,-0.002044,-0.023400,46.600000,2138796616.000000,99667922305.600006,598843378.166667,0.005897,3.220000,-0.056643,0.017467,25.325110,20.210511,False,99667922305.600006,598843378.166667,0.005897,3.220000,-0.056643,0.017467
00919_20231218,2023-12-18,1722,台肥,化學生技醫療,0.035014,0.036631,-0.015934,0.007039,68.200000,980000000.000000,66836000000.000000,137633484.216667,0.002227,3.670000,0.058333,0.074016,24.925508,18.740105,False,66836000000.000000,137633484.216667,0.002227,3.670000,0.058333,0.074016
00919_20231218,2023-12-18,2211,長榮鋼,鋼鐵工業,0.234705,0.097854,0.039233,0.119515,99.000000,417091463.000000,41292054837.000000,122373437.283333,0.003620,5.050000,0.310294,0.111111,24.443936,18.622588,True,41292054837.000000,122373437.283333,0.003620,5.050000,0.310294,0.111111
00919_20231218,2023-12-18,2886,兆豐金,金融保險,-0.045627,-0.020146,-0.009974,-0.049331,39.350000,12603688836.000000,495955155696.600037,610490523.866667,0.001261,3.350000,0.072404,0.002548,26.929751,20.229773,False,495955155696.600037,610490523.866667,0.001699,3.350000,0.072404,0.002548
00919_20231218,2023-12-18,2891,中信金,金融保險,0.042796,0.011879,-0.006686,-0.006355,28.150000,19583297106.000000,551269813533.900024,1043046016.616667,0.002059,3.550000,0.113360,0.023636,27.035490,20.765411,False,551269813533.900024,1043046016.616667,0.002059,3.550000,0.113360,0.023636
00919_20231218,2023-12-18,3005,神基,電腦及週邊設備業,0.301052,0.025496,-0.016418,-0.038540,108.500000,606500400.000000,65805293400.000000,746880947.350000,0.012811,3.480000,0.322208,0.053398,24.909966,20.431416,False,65805293400.000000,746880947.350000,0.012811,3.480000,0.322208,0.053398
00919_20231218,2023-12-18,5483,中美晶,半導體業,0.083182,0.069119,0.009132,-0.051683,197.500000,586221651.000000,115778776072.500000,738426697.366667,0.007195,4.560000,0.145963,0.070461,25.474947,20.420032,True,115778776072.500000,738426697.366667,0.007195,4.560000,0.145963,0.070461
00919_20231218,2023-12-18,5904,寶雅,居家生活類,-0.005193,0.026931,0.014154,-0.068165,558.000000,102182048.000000,57017582784.000000,131462205.916667,0.002475,4.300000,0.057286,0.060837,24.766626,18.694230,True,57017582784.000000,131462205.916667,0.002475,4.300000,0.057286,0.060837
00919_20240531,2024-05-31,2451,創見,電子工業,0.218946,0.087009,0.043093,-0.253145,114.500000,429061675.000000,49127561787.500000,164977432.433333,0.003900,4.370000,0.359703,0.040909,24.617686,18.921319,False,49127561787.500000,164977432.433333,0.003900,4.370000,0.359703,0.040909
00919_20240531,2024-05-31,2504,國產,建材營造,-0.013038,0.061944,-0.007927,-0.115510,46.900000,1180000000.000000,55342000000.000000,577884594.733333,0.010835,4.480000,0.404389,0.046875,24.736798,20.174885,False,55342000000.000000,577884594.733333,0.010835,4.480000,0.404389,0.046875
00919_20240531,2024-05-31,2548,華固,建材營造,0.124136,0.046558,0.041574,-0.108103,162.000000,276812726.000000,44843661612.000000,605621079.450000,0.014630,5.250000,0.609195,0.051948,24.526448,20.221765,True,44843661612.000000,605621079.450000,0.014630,5.250000,0.609195,0.051948
