event_id,ann_date,stock_id,stock_name,industry,CAR_pre_30,CAR_pre_5,CAR_post_5,CAR_post_30,market_cap,avg_turnover_60d,turnover_ratio_60d,dividend_yield,momentum_pre,volume_anomaly_pre_5,log_market_cap,log_avg_turnover
00919_20221216,2022-12-16,2303,聯電,電子工業,0.018754,0.043279,-0.020719,0.071112,552333964167.000000,2961902170.566667,0.005765,6.780000,,,27.037419,21.809098
00919_20221216,2022-12-16,2379,瑞昱,電子工業,0.002199,0.004568,-0.011622,0.137357,154884819582.000000,1375108893.250000,0.009312,8.940000,,,25.765948,21.041799
00919_20221216,2022-12-16,2404,漢唐,其他電子業,0.115248,-0.015534,0.021177,0.055797,34515952432.000000,106095288.683333,0.003408,7.140000,,,24.264687,18.479848
00919_20221216,2022-12-16,2449,京元電子,電子工業,0.002525,0.058442,0.019745,0.000954,45058155645.250000,195111016.383333,0.004802,8.140000,,,24.531220,19.089079
00919_20221216,2022-12-16,2615,萬海,航運業,0.078187,0.144312,0.213562,-0.104635,176909222870.000000,1199529161.150000,0.006949,16.550000,,,25.898903,20.905195
00919_20221216,2022-12-16,2637,慧洋-KY,航運業,0.121456,0.113775,0.054272,-0.116387,47396984136.500000,495386694.400000,0.011648,8.660000,,,24.581824,20.020849
00919_20221216,2022-12-16,3231,緯創,電腦及週邊設備業,0.039529,0.078209,0.052235,-0.031414,83338958365.000000,265052839.950000,0.003436,7.510000,,,25.146182,19.395440
00919_20221216,2022-12-16,9933,中鼎,其他,-0.107728,-0.004197,0.008156,-0.052644,33670566903.400002,159812053.766667,0.004803,5.270000,,,24.239890,18.889509
00919_20230531,2023-05-31,2385,群光,電子零組件業,0.067687,0.000022,-0.013059,-0.087197,80185609646.000000,209291815.183333,0.002856,7.110000,0.115789,0.615882,25.107610,19.159240
00919_20230531,2023-05-31,3044,健鼎,電子工業,0.074241,0.007023,-0.017599,-0.140538,66751949046.000000,280380570.000000,0.004546,5.870000,0.180061,1.479322,24.924249,19.451658
00919_20230531,2023-05-31,3264,欣銓,半導體業,-0.026191,0.040690,-0.004308,0.027967,28576915430.799999,296663042.500000,0.010617,6.000000,0.152000,0.733037,24.075865,19.508108
00919_20230531,2023-05-31,3702,大聯大,電子通路業,0.020371,-0.004819,-0.010411,0.050483,88654200782.399994,186510383.133333,0.002212,7.290000,0.050209,0.871762,25.208009,19.043997
00919_20230531,2023-05-31,4915,致伸,電子零組件業,0.011211,-0.004651,-0.009996,-0.048677,29118996736.000000,229666927.700000,0.008158,6.090000,0.088339,0.777698,24.094657,19.252141
00919_20230531,2023-05-31,6239,力成,半導體業,0.031259,0.035078,-0.000770,0.066378,75383260756.199997,228734566.850000,0.003259,7.050000,0.173585,1.414428,25.045851,19.248073
00919_20230531,2023-05-31,6278,台表科,電子工業,-0.070364,-0.002865,-0.036696,-0.174710,29678432829.500000,155272099.533333,0.005513,6.900000,0.174157,0.694259,24.113686,18.860690
00919_20230531,2023-05-31,6691,洋基工程,其他電子業,-0.015050,0.004632,0.038600,-0.063275,20372142000.000000,156688801.800000,0.007960,7.430000,0.459459,1.624379,23.737434,18.869772
00919_20230531,2023-05-31,8046,南電,電子工業,0.105851,0.024838,-0.029946,-0.182071,189972653178.000000,2428178462.550000,0.013624,6.120000,0.205011,0.747910,25.970146,21.610407
00919_20230531,2023-05-31,9802,鈺齊-KY,運動休閒,-0.076673,0.009211,0.034695,-0.066443,23473687360.500000,147155223.666667,0.006060,5.830000,-0.003788,0.630655,23.879146,18.806999
00919_20231218,2023-12-18,1504,東元,電機機械,-0.085462,0.002346,-0.002044,-0.023400,99667922305.600006,598843378.166667,0.005897,3.220000,-0.088123,0.653888,25.325110,20.210511
00919_20231218,2023-12-18,1722,台肥,化學生技醫療,0.035014,0.036631,-0.015934,0.007039,66836000000.000000,137633484.216667,0.002227,3.670000,-0.047319,0.513313,24.925508,18.740105
00919_20231218,2023-12-18,2211,長榮鋼,鋼鐵工業,0.234705,0.097854,0.039233,0.119515,41292054837.000000,122373437.283333,0.003620,5.050000,0.107784,0.482889,24.443936,18.622588
00919_20231218,2023-12-18,2886,兆豐金,金融保險,-0.045627,-0.020146,-0.009974,-0.049331,495955155696.600037,610490523.866667,0.001261,3.350000,-0.042553,0.601963,26.929751,20.229773
00919_20231218,2023-12-18,2891,中信金,金融保險,0.042796,0.011879,-0.006686,-0.006355,551269813533.900024,1043046016.616667,0.002059,3.550000,0.022177,0.756138,27.035490,20.765411
00919_20231218,2023-12-18,3005,神基,電腦及週邊設備業,0.301052,0.025496,-0.016418,-0.038540,65805293400.000000,746880947.350000,0.012811,3.480000,0.148710,0.946349,24.909966,20.431416
00919_20231218,2023-12-18,5483,中美晶,半導體業,0.083182,0.069119,0.009132,-0.051683,115778776072.500000,738426697.366667,0.007195,4.560000,0.081250,1.455203,25.474947,20.420032
00919_20231218,2023-12-18,5904,寶雅,居家生活類,-0.005193,0.026931,0.014154,-0.068165,57017582784.000000,131462205.916667,0.002475,4.300000,0.009766,0.838566,24.766626,18.694230
00919_20240531,2024-05-31,2451,創見,電子工業,0.218946,0.087009,0.043093,-0.253145,49127561787.500000,164977432.433333,0.003900,4.370000,0.141414,1.118445,24.617686,18.921319
00919_20240531,2024-05-31,2504,國產,建材營造,-0.013038,0.061944,-0.007927,-0.115510,55342000000.000000,577884594.733333,0.010835,4.480000,0.640429,4.687022,24.736798,20.174885
00919_20240531,2024-05-31,2548,華固,建材營造,0.124136,0.046558,0.041574,-0.108103,44843661612.000000,605621079.450000,0.014630,5.250000,0.418848,7.553823,24.526448,20.221765
00919_20240531,2024-05-31,2618,長榮航,航運業,0.105432,0.037455,0.011715,-0.163932,191409322149.899994,3907636358.883333,0.020927,5.050000,-0.038760,3.201615,25.977680,22.086199
00919_20240531,2024-05-31,2809,京城銀,金融保險,0.041900,-0.037067,-0.038598,-0.100300,68896524430.000000,363015884.200000,0.005738,4.840000,0.360294,3.908139,24.955872,19.709957
00919_20240531,2024-05-31,2889,國票金,金融保險,0.064263,-0.009263,-0.006525,-0.092551,48154974939.900002,182344403.233333,0.004012,6.410000,0.120332,1.735990,24.597690,19.021408
00919_20240531,2024-05-31,3014,聯陽,電子工業,0.023949,0.055517,-0.065510,-0.172319,28833342196.000000,442888126.933333,0.016087,4.470000,0.075658,0.558179,24.084798,19.908828
00919_20240531,2024-05-31,5347,世界,半導體業,0.203721,0.084001,0.021654,0.006956,174551611435.500000,1483309491.083333,0.010196,4.230000,0.066751,1.086197,25.885486,21.117542
00919_20240531,2024-05-31,5508,永信建,建材營造,0.290326,0.081564,0.016400,0.048112,44029196932.500000,748189264.700000,0.018187,5.580000,0.672222,4.433004,24.508119,20.433167
00919_20240531,2024-05-31,5536,聖暉*,其他電子類,0.021934,0.071467,0.013454,-0.008390,28476573435.000000,141232788.650000,0.005365,4.580000,0.216667,0.986308,24.072348,18.765920
00919_20240531,2024-05-31,6005,群益證,金融保險,0.070984,-0.037100,-0.003615,-0.121397,51776158113.450005,382311239.483333,0.007868,5.580000,0.308642,4.361003,24.670196,19.761746
00919_20240531,2024-05-31,8070,長華*,電子工業,0.224473,0.096312,-0.079475,-0.262351,37750970993.599998,216526646.166667,0.006889,4.640000,0.186957,1.040619,24.354277,19.193224
