,count,missing,mean,std,min,25%,50%,75%,max
CAR_pre_30,71.0000,0,0.0486,0.0946,-0.1327,-0.0116,0.0371,0.0881,0.3011
CAR_pre_5,71.0000,0,0.0238,0.0482,-0.0709,-0.0044,0.0172,0.0570,0.1477
CAR_post_5,71.0000,0,-0.0379,0.1347,-0.9844,-0.0741,-0.0116,0.0138,0.2136
CAR_post_30,71.0000,0,-0.0883,0.1570,-0.9990,-0.1438,-0.0834,-0.0070,0.3053
market_cap,70.0000,1,125741202157.4185,192454735460.7729,2638423659.2000,35691592521.7250,51136533994.7250,104378345198.1250,1064624811277.3999
log_market_cap,70.0000,1,24.9531,1.0106,21.6934,24.2981,24.6577,25.3709,27.6936
avg_turnover_60d,71.0000,0,739526609.4516,847463692.7416,106095288.6833,189858492.2167,366879504.0000,869574566.1750,3907636358.8833
log_avg_turnover,71.0000,0,19.9204,0.9767,18.4798,19.0616,19.7205,20.5835,22.0862
turnover_ratio_60d,70.0000,1,0.0096,0.0117,0.0013,0.0041,0.0061,0.0100,0.0767
dividend_yield,71.0000,0,5.6241,1.9658,2.8100,4.4050,5.3500,6.3800,16.5500
momentum_60d,70.0000,1,0.0935,0.2320,-0.8832,-0.0404,0.0735,0.1739,0.9355
momentum_recent_5d,71.0000,0,0.0142,0.0483,-0.1139,-0.0137,0.0160,0.0509,0.1546
