,count,missing,mean,std,min,25%,50%,75%,max
CAR_pre_30,71.0000,0,0.0486,0.0946,-0.1327,-0.0116,0.0371,0.0881,0.3011
CAR_pre_5,71.0000,0,0.0238,0.0482,-0.0709,-0.0044,0.0172,0.0570,0.1477
CAR_post_5,71.0000,0,-0.0237,0.0720,-0.1637,-0.0671,-0.0104,0.0153,0.2136
CAR_post_30,71.0000,0,-0.0742,0.1128,-0.3155,-0.1403,-0.0805,-0.0027,0.3053
log_market_cap,70.0000,1,24.9531,1.0106,21.6934,24.2981,24.6577,25.3709,27.6936
log_avg_turnover,71.0000,0,19.9204,0.9767,18.4798,19.0616,19.7205,20.5835,22.0862
turnover_ratio_60d,70.0000,1,0.0096,0.0117,0.0013,0.0041,0.0061,0.0100,0.0767
dividend_yield,71.0000,0,5.6241,1.9658,2.8100,4.4050,5.3500,6.3800,16.5500
momentum_pre,63.0000,8,0.0782,0.1942,-0.4008,-0.0464,0.0668,0.1670,0.6722
volume_anomaly_pre_5,63.0000,8,1.3261,1.2613,0.2227,0.6789,0.9755,1.3718,7.5538
